"cs","alt","download_speed","router_included","bundles","price","text"
1,1,"1.000 Mbit/s","No (you use your own or buy)","Free landline flat (unlimited calls within Germany)",29.99,"download_speed: 1.000 Mbit/s, router_included: No (you use your own or buy), bundles: Free landline flat (unlimited calls within Germany), price: 29.99"
1,2,"1.000 Mbit/s","Yes - basic router free","+ Mobile flat (unlimited 5G SIM for smartphone)",69.99,"download_speed: 1.000 Mbit/s, router_included: Yes - basic router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 69.99"
1,3,"1.000 Mbit/s","Yes - basic router free","None",49.99,"download_speed: 1.000 Mbit/s, router_included: Yes - basic router free, bundles: None, price: 49.99"
2,1,"250 Mbit/s","Yes - basic router free","None",69.99,"download_speed: 250 Mbit/s, router_included: Yes - basic router free, bundles: None, price: 69.99"
2,2,"50 Mbit/s","Yes - basic router free","Free landline flat (unlimited calls within Germany)",69.99,"download_speed: 50 Mbit/s, router_included: Yes - basic router free, bundles: Free landline flat (unlimited calls within Germany), price: 69.99"
2,3,"50 Mbit/s","Yes - basic router free","Free landline flat (unlimited calls within Germany)",69.99,"download_speed: 50 Mbit/s, router_included: Yes - basic router free, bundles: Free landline flat (unlimited calls within Germany), price: 69.99"
3,1,"50 Mbit/s","No (you use your own or buy)","Free landline flat (unlimited calls within Germany)",29.99,"download_speed: 50 Mbit/s, router_included: No (you use your own or buy), bundles: Free landline flat (unlimited calls within Germany), price: 29.99"
3,2,"250 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","None",49.99,"download_speed: 250 Mbit/s, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: None, price: 49.99"
3,3,"50 Mbit/s","No (you use your own or buy)","+ Mobile flat (unlimited 5G SIM for smartphone)",49.99,"download_speed: 50 Mbit/s, router_included: No (you use your own or buy), bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 49.99"
4,1,"50 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","+ Mobile flat (unlimited 5G SIM for smartphone)",69.99,"download_speed: 50 Mbit/s, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 69.99"
4,2,"250 Mbit/s","No (you use your own or buy)","None",49.99,"download_speed: 250 Mbit/s, router_included: No (you use your own or buy), bundles: None, price: 49.99"
4,3,"50 Mbit/s","No (you use your own or buy)","None",69.99,"download_speed: 50 Mbit/s, router_included: No (you use your own or buy), bundles: None, price: 69.99"
5,1,"250 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","Free landline flat (unlimited calls within Germany)",69.99,"download_speed: 250 Mbit/s, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: Free landline flat (unlimited calls within Germany), price: 69.99"
5,2,"1.000 Mbit/s","No (you use your own or buy)","+ Mobile flat (unlimited 5G SIM for smartphone)",29.99,"download_speed: 1.000 Mbit/s, router_included: No (you use your own or buy), bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 29.99"
5,3,"250 Mbit/s","Yes - basic router free","Free landline flat (unlimited calls within Germany)",69.99,"download_speed: 250 Mbit/s, router_included: Yes - basic router free, bundles: Free landline flat (unlimited calls within Germany), price: 69.99"
6,1,"50 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","+ Mobile flat (unlimited 5G SIM for smartphone)",49.99,"download_speed: 50 Mbit/s, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 49.99"
6,2,"1.000 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","+ Mobile flat (unlimited 5G SIM for smartphone)",69.99,"download_speed: 1.000 Mbit/s, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 69.99"
