"cs","choices_cell"
1,"brand: Vodafone, download_speed: 250 Mbit/s, contract_length: 24 months (standard), router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: Free landline flat (unlimited calls within Germany), price: 19.99
brand: O2, download_speed: 500 Mbit/s, contract_length: 24 months (standard), router_included: No (you use your own or buy), bundles: None, price: 49.99
brand: T-Mobile, download_speed: 50 Mbit/s, contract_length: 12 months, router_included: Yes - basic router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 59.99"
2,"brand: O2, download_speed: 250 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: Yes - basic router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 59.99
brand: T-Mobile, download_speed: 500 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: + German TV package (100+ channels), price: 59.99
brand: Vodafone, download_speed: 100 Mbit/s, contract_length: 12 months, router_included: Yes - basic router free, bundles: Free landline flat (unlimited calls within Germany), price: 19.99"
3,"brand: O2, download_speed: 500 Mbit/s, contract_length: 24 months (standard), router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: 6 months free (50 % discount first half year), price: 39.99
brand: O2, download_speed: 500 Mbit/s, contract_length: 24 months (standard), router_included: Yes - basic router free, bundles: + German TV package (100+ channels), price: 39.99
brand: O2, download_speed: 1.000 Mbit/s, contract_length: 24 months (standard), router_included: No (you use your own or buy), bundles: + German TV package (100+ channels), price: 29.99"
4,"brand: T-Mobile, download_speed: 100 Mbit/s, contract_length: 24 months (standard), router_included: Yes - basic router free, bundles: + German TV package (100+ channels), price: 59.99
brand: T-Mobile, download_speed: 500 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: No (you use your own or buy), bundles: Free landline flat (unlimited calls within Germany), price: 29.99
brand: Vodafone, download_speed: 500 Mbit/s, contract_length: 12 months, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: + German TV package (100+ channels), price: 59.99"
5,"brand: O2, download_speed: 100 Mbit/s, contract_length: 12 months, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 59.99
brand: T-Mobile, download_speed: 50 Mbit/s, contract_length: 24 months (standard), router_included: Yes - basic router free, bundles: + German TV package (100+ channels), price: 19.99
brand: O2, download_speed: 250 Mbit/s, contract_length: 24 months (standard), router_included: Yes - basic router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 49.99"
6,"brand: O2, download_speed: 1.000 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: No (you use your own or buy), bundles: + German TV package (100+ channels), price: 39.99
brand: T-Mobile, download_speed: 250 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: Yes - basic router free, bundles: Free landline flat (unlimited calls within Germany), price: 49.99
brand: O2, download_speed: 50 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: + German TV package (100+ channels), price: 59.99"
7,"brand: O2, download_speed: 1.000 Mbit/s, contract_length: 12 months, router_included: Yes - basic router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 59.99
brand: Vodafone, download_speed: 500 Mbit/s, contract_length: 12 months, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: 6 months free (50 % discount first half year), price: 29.99
brand: T-Mobile, download_speed: 100 Mbit/s, contract_length: 24 months (standard), router_included: Yes - basic router free, bundles: Free landline flat (unlimited calls within Germany), price: 19.99"
8,"brand: Vodafone, download_speed: 250 Mbit/s, contract_length: 12 months, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: Free landline flat (unlimited calls within Germany), price: 59.99
brand: Vodafone, download_speed: 50 Mbit/s, contract_length: 12 months, router_included: Yes - basic router free, bundles: Free landline flat (unlimited calls within Germany), price: 39.99
brand: T-Mobile, download_speed: 1.000 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: Yes - basic router free, bundles: 6 months free (50 % discount first half year), price: 59.99"
9,"brand: Vodafone, download_speed: 50 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: Yes - basic router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 49.99
brand: T-Mobile, download_speed: 500 Mbit/s, contract_length: 24 months (standard), router_included: No (you use your own or buy), bundles: Free landline flat (unlimited calls within Germany), price: 29.99
brand: T-Mobile, download_speed: 1.000 Mbit/s, contract_length: 24 months (standard), router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: Free landline flat (unlimited calls within Germany), price: 19.99"
10,"brand: T-Mobile, download_speed: 50 Mbit/s, contract_length: 24 months (standard), router_included: No (you use your own or buy), bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 29.99
brand: T-Mobile, download_speed: 50 Mbit/s, contract_length: 12 months, router_included: No (you use your own or buy), bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 19.99
brand: Vodafone, download_speed: 50 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: Yes - basic router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 19.99"
