"cs","alt","download_speed","router_included","bundles","price","text"
1,1,"1.000 Mbit/s","No (you use your own or buy)","Free landline flat (unlimited calls within Germany)","29.99","1.000 Mbit/s; No (you use your own or buy); Free landline flat (unlimited calls within Germany); 29.99"
1,2,"1.000 Mbit/s","Yes - basic router free","+ Mobile flat (unlimited 5G SIM for smartphone)","69.99","1.000 Mbit/s; Yes - basic router free; + Mobile flat (unlimited 5G SIM for smartphone); 69.99"
1,3,"1.000 Mbit/s","Yes - basic router free","None","49.99","1.000 Mbit/s; Yes - basic router free; None; 49.99"
2,1,"250 Mbit/s","Yes - basic router free","None","69.99","250 Mbit/s; Yes - basic router free; None; 69.99"
2,2,"50 Mbit/s","Yes - basic router free","Free landline flat (unlimited calls within Germany)","69.99","50 Mbit/s; Yes - basic router free; Free landline flat (unlimited calls within Germany); 69.99"
2,3,"50 Mbit/s","Yes - basic router free","+ Mobile flat (unlimited 5G SIM for smartphone)","29.99","50 Mbit/s; Yes - basic router free; + Mobile flat (unlimited 5G SIM for smartphone); 29.99"
3,1,"50 Mbit/s","No (you use your own or buy)","Free landline flat (unlimited calls within Germany)","29.99","50 Mbit/s; No (you use your own or buy); Free landline flat (unlimited calls within Germany); 29.99"
3,2,"250 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","None","49.99","250 Mbit/s; Yes - high-end Wi-Fi 6/7 mesh router free; None; 49.99"
3,3,"50 Mbit/s","No (you use your own or buy)","+ Mobile flat (unlimited 5G SIM for smartphone)","49.99","50 Mbit/s; No (you use your own or buy); + Mobile flat (unlimited 5G SIM for smartphone); 49.99"
4,1,"50 Mbit/s","Yes - high-end Wi-Fi 6/7 mesh router free","+ Mobile flat (unlimited 5G SIM for smartphone)","69.99","50 Mbit/s; Yes - high-end Wi-Fi 6/7 mesh router free; + Mobile flat (unlimited 5G SIM for smartphone); 69.99"
4,2,"250 Mbit/s","No (you use your own or buy)","None","49.99","250 Mbit/s; No (you use your own or buy); None; 49.99"
4,3,"50 Mbit/s","No (you use your own or buy)","None","69.99","50 Mbit/s; No (you use your own or buy); None; 69.99"
