"cs","Option","brand","download_speed","contract_length","router_included","bundles","price","text"
1,1,"Vodafone","250 Mbit/s","24 months (standard)","Yes - high-end Wi-Fi 6/7 mesh router free","Free landline flat (unlimited calls within Germany)",19.99,"brand: Vodafone, download_speed: 250 Mbit/s, contract_length: 24 months (standard), router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: Free landline flat (unlimited calls within Germany), price: 19.99"
1,2,"O2","500 Mbit/s","24 months (standard)","No (you use your own or buy)","None",49.99,"brand: O2, download_speed: 500 Mbit/s, contract_length: 24 months (standard), router_included: No (you use your own or buy), bundles: None, price: 49.99"
1,3,"T-Mobile","50 Mbit/s","12 months","Yes - basic router free","+ Mobile flat (unlimited 5G SIM for smartphone)",59.99,"brand: T-Mobile, download_speed: 50 Mbit/s, contract_length: 12 months, router_included: Yes - basic router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 59.99"
2,1,"O2","250 Mbit/s","1 month (monthly cancelable)","Yes - basic router free","+ Mobile flat (unlimited 5G SIM for smartphone)",59.99,"brand: O2, download_speed: 250 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: Yes - basic router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 59.99"
2,2,"T-Mobile","500 Mbit/s","1 month (monthly cancelable)","Yes - high-end Wi-Fi 6/7 mesh router free","+ German TV package (100+ channels)",59.99,"brand: T-Mobile, download_speed: 500 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: + German TV package (100+ channels), price: 59.99"
2,3,"Vodafone","100 Mbit/s","12 months","Yes - basic router free","Free landline flat (unlimited calls within Germany)",19.99,"brand: Vodafone, download_speed: 100 Mbit/s, contract_length: 12 months, router_included: Yes - basic router free, bundles: Free landline flat (unlimited calls within Germany), price: 19.99"
3,1,"O2","500 Mbit/s","24 months (standard)","Yes - high-end Wi-Fi 6/7 mesh router free","6 months free (50 % discount first half year)",39.99,"brand: O2, download_speed: 500 Mbit/s, contract_length: 24 months (standard), router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: 6 months free (50 % discount first half year), price: 39.99"
3,2,"O2","500 Mbit/s","24 months (standard)","Yes - basic router free","+ German TV package (100+ channels)",39.99,"brand: O2, download_speed: 500 Mbit/s, contract_length: 24 months (standard), router_included: Yes - basic router free, bundles: + German TV package (100+ channels), price: 39.99"
3,3,"O2","1.000 Mbit/s","24 months (standard)","No (you use your own or buy)","+ German TV package (100+ channels)",29.99,"brand: O2, download_speed: 1.000 Mbit/s, contract_length: 24 months (standard), router_included: No (you use your own or buy), bundles: + German TV package (100+ channels), price: 29.99"
4,1,"T-Mobile","100 Mbit/s","24 months (standard)","Yes - basic router free","+ German TV package (100+ channels)",59.99,"brand: T-Mobile, download_speed: 100 Mbit/s, contract_length: 24 months (standard), router_included: Yes - basic router free, bundles: + German TV package (100+ channels), price: 59.99"
4,2,"T-Mobile","500 Mbit/s","1 month (monthly cancelable)","No (you use your own or buy)","Free landline flat (unlimited calls within Germany)",29.99,"brand: T-Mobile, download_speed: 500 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: No (you use your own or buy), bundles: Free landline flat (unlimited calls within Germany), price: 29.99"
4,3,"Vodafone","500 Mbit/s","12 months","Yes - high-end Wi-Fi 6/7 mesh router free","+ German TV package (100+ channels)",59.99,"brand: Vodafone, download_speed: 500 Mbit/s, contract_length: 12 months, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: + German TV package (100+ channels), price: 59.99"
5,1,"O2","100 Mbit/s","12 months","Yes - high-end Wi-Fi 6/7 mesh router free","+ Mobile flat (unlimited 5G SIM for smartphone)",59.99,"brand: O2, download_speed: 100 Mbit/s, contract_length: 12 months, router_included: Yes - high-end Wi-Fi 6/7 mesh router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 59.99"
5,2,"T-Mobile","50 Mbit/s","24 months (standard)","Yes - basic router free","+ German TV package (100+ channels)",19.99,"brand: T-Mobile, download_speed: 50 Mbit/s, contract_length: 24 months (standard), router_included: Yes - basic router free, bundles: + German TV package (100+ channels), price: 19.99"
5,3,"O2","250 Mbit/s","24 months (standard)","Yes - basic router free","+ Mobile flat (unlimited 5G SIM for smartphone)",49.99,"brand: O2, download_speed: 250 Mbit/s, contract_length: 24 months (standard), router_included: Yes - basic router free, bundles: + Mobile flat (unlimited 5G SIM for smartphone), price: 49.99"
6,1,"O2","1.000 Mbit/s","1 month (monthly cancelable)","No (you use your own or buy)","+ German TV package (100+ channels)",39.99,"brand: O2, download_speed: 1.000 Mbit/s, contract_length: 1 month (monthly cancelable), router_included: No (you use your own or buy), bundles: + German TV package (100+ channels), price: 39.99"
